file,exit_code,pages,fatal_errors,undefined_refs_after_2nd_pass,undefined_control_seq,warnings_count
NFC_Book_I.tex,0,17,0,0,0,0
NFC_Book_II.tex,0,44,0,12,0,13
NFC_Book_III.tex,0,56,0,37,0,38
NFC_Book_IV.tex,0,19,0,2,0,3
NFC_Book_V.tex,0,14,0,7,0,7
NFC_Book_VI.tex,0,18,0,19,0,19
NFC_Book_VII.tex,0,28,0,24,0,24
NFC_BIO_Branch.tex,0,33,0,0,0,0
NFC_CRYST_Branch.tex,0,36,0,0,0,0
NFC_GR_Branch.tex,0,28,0,28,0,28
NFC_LING_Branch.tex,0,29,0,0,0,1
NFC_NS_Branch.tex,0,36,0,24,0,25
NFC_RH_Branch.tex,0,38,0,29,0,30
NFC_SCC_Branch.tex,0,30,0,20,0,20
NFC_SM_Branch.tex,0,30,0,48,0,48
NFC_SPEC_Branch.tex,0,24,0,22,0,22
NFC_YM_Branch.tex,0,81,0,67,0,68
