file,D,U,C,B,O,R,total
NFC_Book_I.tex,33,19,0,0,0,18,70
NFC_Book_II.tex,34,19,73,0,0,31,157
NFC_Book_III.tex,38,25,47,0,1,30,141
NFC_Book_IV.tex,18,25,1,0,0,13,57
NFC_Book_V.tex,19,14,5,0,0,8,46
NFC_Book_VI.tex,16,12,20,0,0,8,56
NFC_Book_VII.tex,27,39,0,0,0,20,86
NFC_BIO_Branch.tex,42,0,51,0,1,22,116
NFC_CRYST_Branch.tex,31,3,45,0,2,24,105
NFC_GR_Branch.tex,11,10,33,2,0,14,70
NFC_LING_Branch.tex,37,0,46,1,0,20,104
NFC_NS_Branch.tex,20,17,44,0,0,35,116
NFC_RH_Branch.tex,26,0,86,0,1,16,129
NFC_SCC_Branch.tex,15,9,39,0,0,18,81
NFC_SM_Branch.tex,6,1,42,0,0,18,67
NFC_SPEC_Branch.tex,41,0,31,6,0,9,87
NFC_YM_Branch.tex,47,19,185,0,0,45,296
